127.0.0.1, 2017-03-30 16:42:37, POST, /admin/debug/list_breakpoints, HTTP/1.1, 200, 0.355910
127.0.0.1, 2017-03-30 16:43:38, GET, /earnings_reports/appadmin/hooks, HTTP/1.1, 500, 0.223426
127.0.0.1, 2017-03-30 16:43:38, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.237092
127.0.0.1, 2017-03-30 16:44:04, GET, /admin/default/edit/earnings_reports/models/earnings_reports.py, HTTP/1.1, 200, 0.075925
127.0.0.1, 2017-03-30 16:44:05, GET, /admin/default/edit/earnings_reports/models/earnings_reports.py, HTTP/1.1, 303, 0.056309
127.0.0.1, 2017-03-30 16:44:05, GET, /favicon.ico, HTTP/1.1, 400, 0.000993
127.0.0.1, 2017-03-30 16:44:05, GET, /earnings_reports/appadmin/hooks, HTTP/1.1, 500, 0.265756
127.0.0.1, 2017-03-30 16:44:05, GET, /admin/default/files_menu, HTTP/1.1, 200, 0.317086
127.0.0.1, 2017-03-30 16:44:05, GET, /admin/default/editor_sessions, HTTP/1.1, 200, 0.350573
127.0.0.1, 2017-03-30 16:44:05, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.383998
127.0.0.1, 2017-03-30 16:44:05, GET, /admin/default/site, HTTP/1.1, 200, 0.403237
127.0.0.1, 2017-03-30 16:44:10, GET, /admin/default/edit/earnings_reports/models/db_earnings_reports.py, HTTP/1.1, 200, 0.050474
127.0.0.1, 2017-03-30 16:44:10, POST, /admin/debug/list_breakpoints, HTTP/1.1, 200, 0.015466
127.0.0.1, 2017-03-30 16:44:16, GET, /earnings_reports/appadmin, HTTP/1.1, 500, 0.144813
127.0.0.1, 2017-03-30 16:44:16, GET, /favicon.ico, HTTP/1.1, 400, 0.000539
127.0.0.1, 2017-03-30 16:44:37, GET, /earnings_reports/appadmin, HTTP/1.1, 500, 0.975300
127.0.0.1, 2017-03-30 16:44:37, GET, /favicon.ico, HTTP/1.1, 400, 0.000540
127.0.0.1, 2017-03-30 16:44:42, GET, /admin/default/edit/earnings_reports/models/earnings_reports.py, HTTP/1.1, 200, 0.103802
127.0.0.1, 2017-03-30 16:44:43, GET, /admin/default/edit/earnings_reports/models/earnings_reports.py, HTTP/1.1, 303, 0.045079
127.0.0.1, 2017-03-30 16:44:43, GET, /favicon.ico, HTTP/1.1, 400, 0.000738
127.0.0.1, 2017-03-30 16:44:43, GET, /admin/default/editor_sessions, HTTP/1.1, 200, 0.121011
127.0.0.1, 2017-03-30 16:44:43, GET, /earnings_reports/appadmin/hooks, HTTP/1.1, 500, 0.379302
127.0.0.1, 2017-03-30 16:44:43, GET, /admin/default/files_menu, HTTP/1.1, 200, 0.424435
127.0.0.1, 2017-03-30 16:44:43, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.457039
127.0.0.1, 2017-03-30 16:44:43, GET, /admin/default/site, HTTP/1.1, 200, 0.484984
127.0.0.1, 2017-03-30 16:44:46, GET, /admin/default/edit/earnings_reports/models/db_companies.py, HTTP/1.1, 200, 0.052850
127.0.0.1, 2017-03-30 16:44:46, POST, /admin/debug/list_breakpoints, HTTP/1.1, 200, 0.015214
127.0.0.1, 2017-03-30 16:44:47, GET, /admin/default/edit/earnings_reports/models/earnings_reports.py, HTTP/1.1, 200, 0.075907
127.0.0.1, 2017-03-30 16:44:47, GET, /favicon.ico, HTTP/1.1, 400, 0.000651
127.0.0.1, 2017-03-30 16:44:47, GET, /admin/default/edit/earnings_reports/models/earnings_reports.py, HTTP/1.1, 303, 0.075988
127.0.0.1, 2017-03-30 16:44:48, GET, /admin/default/editor_sessions, HTTP/1.1, 200, 0.144409
127.0.0.1, 2017-03-30 16:44:48, GET, /earnings_reports/appadmin/hooks, HTTP/1.1, 500, 0.379014
127.0.0.1, 2017-03-30 16:44:48, GET, /admin/default/files_menu, HTTP/1.1, 200, 0.422704
127.0.0.1, 2017-03-30 16:44:48, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.458584
127.0.0.1, 2017-03-30 16:44:48, GET, /admin/default/site, HTTP/1.1, 200, 0.497414
127.0.0.1, 2017-03-30 16:44:50, GET, /admin/default/edit/earnings_reports/models/earnings_reports.py, HTTP/1.1, 200, 0.077865
127.0.0.1, 2017-03-30 16:44:50, GET, /favicon.ico, HTTP/1.1, 400, 0.000791
127.0.0.1, 2017-03-30 16:44:50, GET, /admin/default/edit/earnings_reports/models/earnings_reports.py, HTTP/1.1, 303, 0.072461
127.0.0.1, 2017-03-30 16:44:50, GET, /admin/default/editor_sessions, HTTP/1.1, 200, 0.141871
127.0.0.1, 2017-03-30 16:44:50, GET, /earnings_reports/appadmin/hooks, HTTP/1.1, 500, 0.359720
127.0.0.1, 2017-03-30 16:44:50, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.369362
127.0.0.1, 2017-03-30 16:44:50, GET, /admin/default/files_menu, HTTP/1.1, 200, 0.443516
127.0.0.1, 2017-03-30 16:44:51, GET, /admin/default/site, HTTP/1.1, 200, 0.486757
127.0.0.1, 2017-03-30 16:44:53, GET, /admin/default/edit/earnings_reports/models/db_companies.py, HTTP/1.1, 200, 0.048836
127.0.0.1, 2017-03-30 16:44:53, POST, /admin/debug/list_breakpoints, HTTP/1.1, 200, 0.016215
127.0.0.1, 2017-03-30 16:44:55, POST, /admin/default/edit/earnings_reports/models/db_companies.py, HTTP/1.1, 200, 0.038607
